test_name	package	source_files	linked_libs	has_mf_sites	note
UncopiableAndUnmovableClass_test	larcorealg	larcorealg/test/CoreUtils/UncopiableAndUnmovableClass_test.cc	libboost_unit_test_framework.so.1.82.0	0	
counter_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/test/CoreUtils/counter_test.cc	libboost_unit_test_framework.so.1.82.0;libcetlib.so;libcetlib_except.so;libcrypto.so;liblarcorealg_CoreUtils.so	0	
enumerate_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/test/CoreUtils/enumerate_test.cc	libboost_unit_test_framework.so.1.82.0;libcetlib.so;libcetlib_except.so;libcrypto.so;liblarcorealg_CoreUtils.so	0	
geo_vectors_utils_test	larcorealg	larcorealg/test/Geometry/geo_vectors_utils_test.cc	libCore.so.6.28.12;libGenVector.so.6.28.12;libImt.so.6.28.12;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_unit_test_framework.so.1.82.0	0	
geoidmapper_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/test/Geometry/geoidmapper_test.cxx;larcoreobj/larcoreobj/SimpleTypesAndConstants/geo_types.cxx	libboost_unit_test_framework.so.1.82.0;libcetlib.so;libcetlib_except.so;libcrypto.so;liblarcorealg_CoreUtils.so;liblarcoreobj_SimpleTypesAndConstants.so	0	
geometry_geoid_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/larcorealg/Geometry/AuxDetGeo.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/AuxDetGeometryCore.cxx;larcorealg/larcorealg/Geometry/AuxDetReadoutGeom.cxx;larcorealg/larcorealg/Geometry/AuxDetSensitiveGeo.cxx;larcorealg/larcorealg/Geometry/BoxBoundedGeo.cxx;larcorealg/larcorealg/Geometry/CryostatGeo.cxx;larcorealg/larcorealg/Geometry/GeoNodePath.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/GeoVectorLocalTransformation.cxx;larcorealg/larcorealg/Geometry/GeometryBuilderStandard.cxx;larcorealg/larcorealg/Geometry/GeometryCore.cxx;larcorealg/larcorealg/Geometry/Intersections.cxx;larcorealg/larcorealg/Geometry/LocalTransformation.cxx;larcorealg/larcorealg/Geometry/OpDetGeo.cxx;larcorealg/larcorealg/Geometry/PlaneGeo.cxx;larcorealg/larcorealg/Geometry/StandaloneGeometrySetup.cxx;larcorealg/larcorealg/Geometry/TPCGeo.cxx;larcorealg/larcorealg/Geometry/WireGeo.cxx;larcorealg/larcorealg/Geometry/WireReadoutDumper.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeom.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeomBuilderStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutSorterStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutStandardGeom.cxx;larcorealg/larcorealg/Geometry/details/GeometryIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/ReadoutIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/maybe_default_detector_name.cxx;larcorealg/larcorealg/TestUtils/NameSelector.cxx;larcorealg/test/Geometry/ChannelMapStandardTestAlg.cxx;larcorealg/test/Geometry/GeometryGeoIDTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorLoopTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorTestAlg.cxx;larcorealg/test/Geometry/GeometryTestAlg.cxx;larcorealg/test/Geometry/geometry_geoid_test.cxx;larcoreobj/larcoreobj/SimpleTypesAndConstants/geo_types.cxx	libCLHEP-Geometry-2.4.7.1.so;libCLHEP-Vector-2.4.7.1.so;libCore.so.6.28.12;libGenVector.so.6.28.12;libGeom.so.6.28.12;libHist.so.6.28.12;libImt.so.6.28.12;libMF_MessageLogger.so;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_atomic.so.1.82.0;libboost_filesystem.so.1.82.0;libboost_unit_test_framework.so.1.82.0;libcanvas.so;libcetlib.so;libcetlib_except.so;libcrypto.so;libfhiclcpp.so;libfhiclcpp_types.so;liblarcorealg_CoreUtils.so;liblarcorealg_Geometry.so;liblarcorealg_GeometryTestLib.so;liblarcorealg_TestUtils.so;liblarcoreobj_SimpleTypesAndConstants.so;libtbb.so.12	1	
geometry_iterator_loop_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/larcorealg/Geometry/AuxDetGeo.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/AuxDetGeometryCore.cxx;larcorealg/larcorealg/Geometry/AuxDetReadoutGeom.cxx;larcorealg/larcorealg/Geometry/AuxDetSensitiveGeo.cxx;larcorealg/larcorealg/Geometry/BoxBoundedGeo.cxx;larcorealg/larcorealg/Geometry/CryostatGeo.cxx;larcorealg/larcorealg/Geometry/GeoNodePath.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/GeoVectorLocalTransformation.cxx;larcorealg/larcorealg/Geometry/GeometryBuilderStandard.cxx;larcorealg/larcorealg/Geometry/GeometryCore.cxx;larcorealg/larcorealg/Geometry/Intersections.cxx;larcorealg/larcorealg/Geometry/LocalTransformation.cxx;larcorealg/larcorealg/Geometry/OpDetGeo.cxx;larcorealg/larcorealg/Geometry/PlaneGeo.cxx;larcorealg/larcorealg/Geometry/StandaloneGeometrySetup.cxx;larcorealg/larcorealg/Geometry/TPCGeo.cxx;larcorealg/larcorealg/Geometry/WireGeo.cxx;larcorealg/larcorealg/Geometry/WireReadoutDumper.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeom.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeomBuilderStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutSorterStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutStandardGeom.cxx;larcorealg/larcorealg/Geometry/details/GeometryIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/ReadoutIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/maybe_default_detector_name.cxx;larcorealg/larcorealg/TestUtils/NameSelector.cxx;larcorealg/test/Geometry/ChannelMapStandardTestAlg.cxx;larcorealg/test/Geometry/GeometryGeoIDTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorLoopTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorTestAlg.cxx;larcorealg/test/Geometry/GeometryTestAlg.cxx;larcorealg/test/Geometry/geometry_iterator_loop_test.cxx;larcoreobj/larcoreobj/SimpleTypesAndConstants/geo_types.cxx	libCLHEP-Geometry-2.4.7.1.so;libCLHEP-Vector-2.4.7.1.so;libCore.so.6.28.12;libGenVector.so.6.28.12;libGeom.so.6.28.12;libHist.so.6.28.12;libImt.so.6.28.12;libMF_MessageLogger.so;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_atomic.so.1.82.0;libboost_filesystem.so.1.82.0;libboost_unit_test_framework.so.1.82.0;libcanvas.so;libcetlib.so;libcetlib_except.so;libcrypto.so;libfhiclcpp.so;libfhiclcpp_types.so;liblarcorealg_CoreUtils.so;liblarcorealg_Geometry.so;liblarcorealg_GeometryTestLib.so;liblarcorealg_TestUtils.so;liblarcoreobj_SimpleTypesAndConstants.so;libtbb.so.12	1	
geometry_iterator_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/larcorealg/Geometry/AuxDetGeo.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/AuxDetGeometryCore.cxx;larcorealg/larcorealg/Geometry/AuxDetReadoutGeom.cxx;larcorealg/larcorealg/Geometry/AuxDetSensitiveGeo.cxx;larcorealg/larcorealg/Geometry/BoxBoundedGeo.cxx;larcorealg/larcorealg/Geometry/CryostatGeo.cxx;larcorealg/larcorealg/Geometry/GeoNodePath.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/GeoVectorLocalTransformation.cxx;larcorealg/larcorealg/Geometry/GeometryBuilderStandard.cxx;larcorealg/larcorealg/Geometry/GeometryCore.cxx;larcorealg/larcorealg/Geometry/Intersections.cxx;larcorealg/larcorealg/Geometry/LocalTransformation.cxx;larcorealg/larcorealg/Geometry/OpDetGeo.cxx;larcorealg/larcorealg/Geometry/PlaneGeo.cxx;larcorealg/larcorealg/Geometry/StandaloneGeometrySetup.cxx;larcorealg/larcorealg/Geometry/TPCGeo.cxx;larcorealg/larcorealg/Geometry/WireGeo.cxx;larcorealg/larcorealg/Geometry/WireReadoutDumper.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeom.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeomBuilderStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutSorterStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutStandardGeom.cxx;larcorealg/larcorealg/Geometry/details/GeometryIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/ReadoutIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/maybe_default_detector_name.cxx;larcorealg/larcorealg/TestUtils/NameSelector.cxx;larcorealg/test/Geometry/ChannelMapStandardTestAlg.cxx;larcorealg/test/Geometry/GeometryGeoIDTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorLoopTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorTestAlg.cxx;larcorealg/test/Geometry/GeometryTestAlg.cxx;larcorealg/test/Geometry/geometry_iterator_test.cxx;larcoreobj/larcoreobj/SimpleTypesAndConstants/geo_types.cxx	libCLHEP-Geometry-2.4.7.1.so;libCLHEP-Vector-2.4.7.1.so;libCore.so.6.28.12;libGenVector.so.6.28.12;libGeom.so.6.28.12;libHist.so.6.28.12;libImt.so.6.28.12;libMF_MessageLogger.so;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_atomic.so.1.82.0;libboost_filesystem.so.1.82.0;libboost_unit_test_framework.so.1.82.0;libcanvas.so;libcetlib.so;libcetlib_except.so;libcrypto.so;libfhiclcpp.so;libfhiclcpp_types.so;liblarcorealg_CoreUtils.so;liblarcorealg_Geometry.so;liblarcorealg_GeometryTestLib.so;liblarcorealg_TestUtils.so;liblarcoreobj_SimpleTypesAndConstants.so;libtbb.so.12	1	
geometry_loader_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/larcorealg/Geometry/AuxDetGeo.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/AuxDetGeometryCore.cxx;larcorealg/larcorealg/Geometry/AuxDetReadoutGeom.cxx;larcorealg/larcorealg/Geometry/AuxDetSensitiveGeo.cxx;larcorealg/larcorealg/Geometry/BoxBoundedGeo.cxx;larcorealg/larcorealg/Geometry/CryostatGeo.cxx;larcorealg/larcorealg/Geometry/GeoNodePath.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/GeoVectorLocalTransformation.cxx;larcorealg/larcorealg/Geometry/GeometryBuilderStandard.cxx;larcorealg/larcorealg/Geometry/GeometryCore.cxx;larcorealg/larcorealg/Geometry/Intersections.cxx;larcorealg/larcorealg/Geometry/LocalTransformation.cxx;larcorealg/larcorealg/Geometry/OpDetGeo.cxx;larcorealg/larcorealg/Geometry/PlaneGeo.cxx;larcorealg/larcorealg/Geometry/StandaloneGeometrySetup.cxx;larcorealg/larcorealg/Geometry/TPCGeo.cxx;larcorealg/larcorealg/Geometry/WireGeo.cxx;larcorealg/larcorealg/Geometry/WireReadoutDumper.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeom.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeomBuilderStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutSorterStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutStandardGeom.cxx;larcorealg/larcorealg/Geometry/details/GeometryIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/ReadoutIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/maybe_default_detector_name.cxx;larcorealg/larcorealg/TestUtils/NameSelector.cxx;larcorealg/test/Geometry/ChannelMapStandardTestAlg.cxx;larcorealg/test/Geometry/GeometryGeoIDTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorLoopTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorTestAlg.cxx;larcorealg/test/Geometry/GeometryTestAlg.cxx;larcorealg/test/Geometry/geometry_loader_test.cxx;larcoreobj/larcoreobj/SimpleTypesAndConstants/geo_types.cxx	libCLHEP-Geometry-2.4.7.1.so;libCLHEP-Vector-2.4.7.1.so;libCore.so.6.28.12;libGenVector.so.6.28.12;libGeom.so.6.28.12;libHist.so.6.28.12;libImt.so.6.28.12;libMF_MessageLogger.so;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_atomic.so.1.82.0;libboost_filesystem.so.1.82.0;libboost_unit_test_framework.so.1.82.0;libcanvas.so;libcetlib.so;libcetlib_except.so;libcrypto.so;libfhiclcpp.so;libfhiclcpp_types.so;liblarcorealg_CoreUtils.so;liblarcorealg_Geometry.so;liblarcorealg_GeometryTestLib.so;liblarcorealg_TestUtils.so;liblarcoreobj_SimpleTypesAndConstants.so;libtbb.so.12	1	
geometry_standardchannelmapping_test	larcorealg	larcorealg/larcorealg/CoreUtils/DebugUtils.cxx;larcorealg/larcorealg/CoreUtils/NumericUtils.cxx;larcorealg/larcorealg/CoreUtils/SearchPathPlusRelative.cxx;larcorealg/larcorealg/Geometry/AuxDetGeo.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/AuxDetGeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/AuxDetGeometryCore.cxx;larcorealg/larcorealg/Geometry/AuxDetReadoutGeom.cxx;larcorealg/larcorealg/Geometry/AuxDetSensitiveGeo.cxx;larcorealg/larcorealg/Geometry/BoxBoundedGeo.cxx;larcorealg/larcorealg/Geometry/CryostatGeo.cxx;larcorealg/larcorealg/Geometry/GeoNodePath.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorter.cxx;larcorealg/larcorealg/Geometry/GeoObjectSorterStandard.cxx;larcorealg/larcorealg/Geometry/GeoVectorLocalTransformation.cxx;larcorealg/larcorealg/Geometry/GeometryBuilderStandard.cxx;larcorealg/larcorealg/Geometry/GeometryCore.cxx;larcorealg/larcorealg/Geometry/Intersections.cxx;larcorealg/larcorealg/Geometry/LocalTransformation.cxx;larcorealg/larcorealg/Geometry/OpDetGeo.cxx;larcorealg/larcorealg/Geometry/PlaneGeo.cxx;larcorealg/larcorealg/Geometry/StandaloneGeometrySetup.cxx;larcorealg/larcorealg/Geometry/TPCGeo.cxx;larcorealg/larcorealg/Geometry/WireGeo.cxx;larcorealg/larcorealg/Geometry/WireReadoutDumper.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeom.cxx;larcorealg/larcorealg/Geometry/WireReadoutGeomBuilderStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutSorterStandard.cxx;larcorealg/larcorealg/Geometry/WireReadoutStandardGeom.cxx;larcorealg/larcorealg/Geometry/details/GeometryIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/ReadoutIterationPolicy.cxx;larcorealg/larcorealg/Geometry/details/maybe_default_detector_name.cxx;larcorealg/larcorealg/TestUtils/NameSelector.cxx;larcorealg/test/Geometry/ChannelMapStandardTestAlg.cxx;larcorealg/test/Geometry/GeometryGeoIDTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorLoopTestAlg.cxx;larcorealg/test/Geometry/GeometryIteratorTestAlg.cxx;larcorealg/test/Geometry/GeometryTestAlg.cxx;larcorealg/test/Geometry/geometry_standardchannelmapping_test.cxx;larcoreobj/larcoreobj/SimpleTypesAndConstants/geo_types.cxx	libCLHEP-Geometry-2.4.7.1.so;libCLHEP-Vector-2.4.7.1.so;libCore.so.6.28.12;libGenVector.so.6.28.12;libGeom.so.6.28.12;libHist.so.6.28.12;libImt.so.6.28.12;libMF_MessageLogger.so;libMathCore.so.6.28.12;libMatrix.so.6.28.12;libMultiProc.so.6.28.12;libNet.so.6.28.12;libPhysics.so.6.28.12;libRIO.so.6.28.12;libThread.so.6.28.12;libboost_atomic.so.1.82.0;libboost_filesystem.so.1.82.0;libboost_unit_test_framework.so.1.82.0;libcanvas.so;libcetlib.so;libcetlib_except.so;libcrypto.so;libfhiclcpp.so;libfhiclcpp_types.so;liblarcorealg_CoreUtils.so;liblarcorealg_Geometry.so;liblarcorealg_GeometryTestLib.so;liblarcorealg_TestUtils.so;liblarcoreobj_SimpleTypesAndConstants.so;libtbb.so.12	1	
